
Posicion: 0	Valor Original: 42	Valor Procesado: 42
Posicion: 1	Valor Original: 108	Valor Procesado: 108
Posicion: 2	Valor Original: 215	Valor Procesado: 215
Posicion: 3	Valor Original: 236	Valor Procesado: 236
Posicion: 4	Valor Original: 45	Valor Procesado: 45
Posicion: 5	Valor Original: 170	Valor Procesado: 170
Posicion: 6	Valor Original: 4	Valor Procesado: 4
Posicion: 7	Valor Original: 34	Valor Procesado: 34
Posicion: 8	Valor Original: 188	Valor Procesado: 188
Posicion: 9	Valor Original: 240	Valor Procesado: 240
Posicion: 10	Valor Original: 96	Valor Procesado: 96
Posicion: 11	Valor Original: 96	Valor Procesado: 33
Posicion: 12	Valor Original: 77	Valor Procesado: 334
Posicion: 13	Valor Original: 253	Valor Procesado: 528
Posicion: 14	Valor Original: 17	Valor Procesado: 505
Posicion: 15	Valor Original: 237	Valor Procesado: 427
Posicion: 16	Valor Original: 191	Valor Procesado: 228
Posicion: 17	Valor Original: 213	Valor Procesado: 287
Posicion: 18	Valor Original: 238	Valor Procesado: 385
Posicion: 19	Valor Original: 82	Valor Procesado: 82
Posicion: 20	Valor Original: 7	Valor Procesado: 7
Posicion: 21	Valor Original: 70	Valor Procesado: 47
Posicion: 22	Valor Original: 78	Valor Procesado: 226
Posicion: 23	Valor Original: 154	Valor Procesado: 183
Posicion: 24	Valor Original: 38	Valor Procesado: 247
Posicion: 25	Valor Original: 143	Valor Procesado: 192
Posicion: 26	Valor Original: 82	Valor Procesado: 276
Posicion: 27	Valor Original: 102	Valor Procesado: 6
Posicion: 28	Valor Original: 84	Valor Procesado: 216
Posicion: 29	Valor Original: 6	Valor Procesado: 6
Posicion: 30	Valor Original: 93	Valor Procesado: 93
Posicion: 31	Valor Original: 52	Valor Procesado: 289
Posicion: 32	Valor Original: 237	Valor Procesado: 541
Posicion: 33	Valor Original: 64	Valor Procesado: 464
Posicion: 34	Valor Original: 85	Valor Procesado: 136
Posicion: 35	Valor Original: 23	Valor Procesado: 379
Posicion: 36	Valor Original: 168	Valor Procesado: 435
Posicion: 37	Valor Original: 35	Valor Procesado: 398
Posicion: 38	Valor Original: 206	Valor Procesado: 296
Posicion: 39	Valor Original: 205	Valor Procesado: 205
Posicion: 40	Valor Original: 144	Valor Procesado: 144
Posicion: 41	Valor Original: 97	Valor Procesado: 126
Posicion: 42	Valor Original: 213	Valor Procesado: 251
Posicion: 43	Valor Original: 244	Valor Procesado: 502
Posicion: 44	Valor Original: 79	Valor Procesado: 236
Posicion: 45	Valor Original: 75	Valor Procesado: 9
Posicion: 46	Valor Original: 97	Valor Procesado: 29
Posicion: 47	Valor Original: 62	Valor Procesado: 140
Posicion: 48	Valor Original: 204	Valor Procesado: 64
Posicion: 49	Valor Original: 239	Valor Procesado: 239
Posicion: 50	Valor Original: 48	Valor Procesado: 48
Posicion: 51	Valor Original: 105	Valor Procesado: 21
Posicion: 52	Valor Original: 23	Valor Procesado: 350
Posicion: 53	Valor Original: 118	Valor Procesado: 1
Posicion: 54	Valor Original: 148	Valor Procesado: 251
Posicion: 55	Valor Original: 110	Valor Procesado: 146
Posicion: 56	Valor Original: 54	Valor Procesado: 159
Posicion: 57	Valor Original: 52	Valor Procesado: 171
Posicion: 58	Valor Original: 245	Valor Procesado: 570
Posicion: 59	Valor Original: 14	Valor Procesado: 14
Posicion: 60	Valor Original: 77	Valor Procesado: 77
Posicion: 61	Valor Original: 231	Valor Procesado: 645
Posicion: 62	Valor Original: 6	Valor Procesado: 369
Posicion: 63	Valor Original: 58	Valor Procesado: 26
Posicion: 64	Valor Original: 34	Valor Procesado: 233
Posicion: 65	Valor Original: 17	Valor Procesado: 243
Posicion: 66	Valor Original: 116	Valor Procesado: 158
Posicion: 67	Valor Original: 18	Valor Procesado: 483
Posicion: 68	Valor Original: 140	Valor Procesado: 81
Posicion: 69	Valor Original: 209	Valor Procesado: 209
